Period,Year,Month,unemployment_count,unemployment_rate,Deaths,deaths_count_thousands,population_thousands, deaths_per_capita 
Celtic_Tiger,2005,January,34.2,8.3,2801,2.8,4213,0.07
Celtic_Tiger,2005,February,33.7,8.2,2398,2.4,4213,0.06
Celtic_Tiger,2005,March,34.9,8.4,2660,2.7,4213,0.06
Celtic_Tiger,2005,April,36.2,8.7,2485,2.5,4213,0.06
Celtic_Tiger,2005,May,37.3,8.9,2385,2.4,4213,0.06
Celtic_Tiger,2005,June,37.5,9,2217,2.2,4213,0.05
Celtic_Tiger,2005,July,37.5,9,2112,2.1,4213,0.05
Celtic_Tiger,2005,August,37.6,9,2076,2.1,4213,0.05
Celtic_Tiger,2005,September,37,8.8,2154,2.2,4213,0.05
Celtic_Tiger,2005,October,36.2,8.6,2254,2.3,4213,0.05
Celtic_Tiger,2005,November,36.2,8.6,2233,2.2,4213,0.05
Celtic_Tiger,2005,December,36.7,8.7,2485,2.5,4213,0.06
Celtic_Tiger,2006,January,38,8.9,2667,2.7,4303.4,0.06
Celtic_Tiger,2006,February,38.6,9,2432,2.4,4303.4,0.06
Celtic_Tiger,2006,March,38.9,9.1,2739,2.7,4303.4,0.06
Celtic_Tiger,2006,April,38.9,9.1,2505,2.5,4303.4,0.06
Celtic_Tiger,2006,May,38.9,9,2337,2.3,4303.4,0.05
Celtic_Tiger,2006,June,39.3,9,2155,2.2,4303.4,0.05
Celtic_Tiger,2006,July,39.6,9,2308,2.3,4303.4,0.05
Celtic_Tiger,2006,August,39.8,9,2132,2.1,4303.4,0.05
Celtic_Tiger,2006,September,38.5,8.7,2191,2.2,4303.4,0.05
Celtic_Tiger,2006,October,36.3,8.1,2168,2.2,4303.4,0.05
Celtic_Tiger,2006,November,35.3,7.8,2283,2.3,4303.4,0.05
Celtic_Tiger,2006,December,36.9,8.1,2571,2.6,4303.4,0.06
Celtic_Tiger,2007,January,39.7,8.6,2652,2.7,4398.1,0.06
Celtic_Tiger,2007,February,41,8.9,2545,2.5,4398.1,0.06
Celtic_Tiger,2007,March,42.5,9.2,2578,2.6,4398.1,0.06
Celtic_Tiger,2007,April,43.8,9.5,2399,2.4,4398.1,0.06
Celtic_Tiger,2007,May,43.1,9.4,2177,2.2,4398.1,0.05
Celtic_Tiger,2007,June,42.9,9.3,2207,2.2,4398.1,0.05
Celtic_Tiger,2007,July,41.2,9,2228,2.2,4398.1,0.05
Celtic_Tiger,2007,August,40.8,8.9,2205,2.2,4398.1,0.05
Celtic_Tiger,2007,September,40.8,8.9,2079,2.1,4398.1,0.05
Celtic_Tiger,2007,October,42,9.1,2266,2.3,4398.1,0.05
Celtic_Tiger,2007,November,43.5,9.4,2197,2.2,4398.1,0.05
Celtic_Tiger,2007,December,44.5,9.7,2584,2.6,4398.1,0.06
Celtic_Tiger,2008,January,45.7,10,2690,2.7,4489.6,0.06
